id,label,name,description,source_tag,confidence,is_hypothetical_demo_case,created_for_story
"UC_ADAM_TB","UseCase","Adam TB","Customer-facing assistant for product and digital banking support at Tatra banka","S10","publicly_observed","false","story_1"
"UC_RAIA_KOSOVO","UseCase","RAIA Kosovo","Customer-facing RAIA assistant for digital banking support in Kosovo","S10|S11","publicly_observed","false","story_1"
"UC_RAIA_BOSNIA","UseCase","RAIA Bosnia","Customer-facing RAIA assistant for digital banking support in Bosnia","S10","publicly_observed","false","story_1"
"UC_RAIA_CROATIA","UseCase","RAIA Croatia","Customer-facing RAIA-style assistant variant for Croatian retail customers","DEMO","hypothetical_demo","true","story_1"
"UC_RBUA_RBCZ_VOICEBOT","UseCase","RBUA RBCZ Voicebot","Voicebot pattern for retail service conversations in Austria and Czechia context","S3","inferred","true","story_1"
"UC_RETAIL_PRODUCT_KNOWLEDGE_YGPT","UseCase","Retail Product Knowledge yellowGPT","Internal knowledge assistant for retail product and policy questions","S5","inferred","true","story_1|story_2"
"UC_DIGITAL_ONBOARDING_ASSISTANT","UseCase","Digital Onboarding Assistant","Assistant for eAccount opening identity verification and onboarding status support","S3|S9","inferred","true","story_2|story_4"
"UC_AUTHENTICATED_CUSTOMER_ASSISTANT","UseCase","Authenticated Customer Assistant","Authenticated mobile assistant using customer profile and product context","DEMO","hypothetical_demo","true","story_1|story_2|story_4"
"UC_BRANCH_ADVISOR_COPILOT","UseCase","Branch Advisor Copilot","Staff copilot for branch advisors using customer profile and product knowledge","DEMO","hypothetical_demo","true","story_2|story_3|story_4"
"UC_SALES_OFFER_ASSISTANT","UseCase","Sales Offer Assistant","Assistant that supports contextual offers and CRM lead creation","S6","inferred","true","story_2|story_3|story_4"
"UC_PRODUCT_RECOMMENDATION_ASSISTANT","UseCase","Product Recommendation Assistant","Customer-facing assistant that recommends suitable retail products","DEMO","hypothetical_demo","true","story_3"
"UC_PERSONALIZED_OFFER_ENGINE","UseCase","Personalized Offer Engine","AI use case for next-best offers and campaign personalization","S6","inferred","true","story_3|story_4"
"UC_LOAN_AFFORDABILITY_RECOMMENDER","UseCase","Loan Affordability Recommender","Decision-support recommender for affordability-sensitive lending conversations","DEMO","hypothetical_demo","true","story_3"
"UC_CREDIT_PREAPPROVAL_ASSISTANT","UseCase","Credit Pre-Approval Assistant","Assistant supporting pre-approval journeys for eligible credit products","DEMO","hypothetical_demo","true","story_3|story_4"
"UC_COMPLAINT_TRIAGE_ASSISTANT","UseCase","Complaint Triage Assistant","Classifier and assistant for complaint routing and response drafting","DEMO","hypothetical_demo","true","story_3|story_4"
"UC_CRM_LEAD_ASSISTANT","UseCase","CRM Lead Assistant","Agentic assistant that creates and updates CRM leads from conversations","S6","inferred","true","story_2|story_4"
"UC_CONSENT_AWARE_CAMPAIGN_AGENT","UseCase","Consent-Aware Campaign Agent","Marketing agent that checks consent before campaign or offer actions","S6","inferred","true","story_2|story_3|story_4"
"UC_CONTACT_CENTER_KNOWLEDGE_COPILOT","UseCase","Contact Center Knowledge Copilot","Internal copilot for contact center agents handling product and complaint questions","DEMO","hypothetical_demo","true","story_1|story_2"
"UC_MAIA_MULTILINGUAL_ASSISTANT","UseCase","MAIA Multilingual Assistant","Multilingual assistant pattern associated with RBI Group AI Lab signals","S8","publicly_observed","false","story_1"
"UC_CUSTOMER_360_INSIGHT_COPILOT","UseCase","Customer 360 Insight Copilot","Internal copilot for governed customer insight exploration","S7","inferred","true","story_2|story_4"
"UC_AUDIT_READY_AGENT_WORKFLOW","UseCase","Audit-Ready Agent Workflow","Reference agentic workflow requiring audit logging and read-write controls","S2|S13","inferred","true","story_3|story_4"
"BANK_RBI_GROUP","NetworkBank","RBI Group","Group-level RBI organization and shared platform context","S1|S4","publicly_observed","false","shared"
"BANK_TATRA","NetworkBank","Tatra banka","Slovak network bank context for Adam TB and digital banking examples","S10|S12","publicly_observed","false","story_1"
"BANK_RAIFFEISEN_KOSOVO","NetworkBank","Raiffeisen Bank Kosovo","Kosovo network bank context for RAIA examples","S10|S11","publicly_observed","false","story_1"
"BANK_RAIFFEISEN_BOSNIA","NetworkBank","Raiffeisen Bank Bosnia","Bosnia network bank context for RAIA assistant examples","S10","publicly_observed","false","story_1"
"BANK_RAIFFEISEN_CROATIA","NetworkBank","Raiffeisen Bank Croatia","Croatian network bank context for assistant blueprint variant","DEMO","hypothetical_demo","true","story_1"
"BANK_RAIFFEISEN_AUSTRIA","NetworkBank","Raiffeisen Bank Austria","Austria network bank context for voicebot and digital service variant","S3|S12","inferred","true","story_1"
"BANK_RAIFFEISEN_CZECH","NetworkBank","Raiffeisenbank Czech Republic","Czech network bank context for voicebot or retail AI variant","S3","inferred","true","story_1"
"BANK_RAIFFEISEN_ROMANIA","NetworkBank","Raiffeisen Bank Romania","Romania network bank context for digital banking examples","S12","inferred","true","story_2"
"BANK_AI_LAB","NetworkBank","RBI Group AI Lab","Group AI Lab context for multilingual assistant and applied AI examples","S8","publicly_observed","false","shared"
"MKT_AT","Market","Austria","Austrian and group headquarters market context","S3|S4","publicly_observed","false","shared"
"MKT_SK","Market","Slovakia","Slovak market for Tatra banka assistant examples","S10|S12","publicly_observed","false","story_1"
"MKT_XK","Market","Kosovo","Kosovo market for RAIA assistant examples","S10|S11","publicly_observed","false","story_1"
"MKT_BA","Market","Bosnia and Herzegovina","Bosnia market for RAIA assistant examples","S10","publicly_observed","false","story_1"
"MKT_HR","Market","Croatia","Croatian market for assistant blueprint variant","DEMO","hypothetical_demo","true","story_1"
"MKT_CZ","Market","Czech Republic","Czech market for voicebot variant","S3","inferred","true","story_1"
"MKT_RO","Market","Romania","Romanian digital banking market context","S12","inferred","true","story_2"
"MKT_CEE","Market","Central and Eastern Europe","Regional CEE context for multi-market blueprint reuse","S4|S8","publicly_observed","false","shared"
"STRAT_ACQUIRE","StrategyPillar","Acquire","Acquire new retail customers through digital and assisted channels","S1","publicly_observed","false","shared"
"STRAT_ENGAGE","StrategyPillar","Engage","Increase customer engagement through digital and human-assisted experiences","S1","publicly_observed","false","shared"
"STRAT_MONETIZE","StrategyPillar","Monetize","Grow retail value through personalized offers and conversion","S1","publicly_observed","false","shared"
"STRAT_DIGITAL_HUMAN_TOUCH","StrategyPillar","Digital Bank with Human Touch","Strategic narrative for digital bank experiences with human support","S1|S4","publicly_observed","false","shared"
"USER_RETAIL_CUSTOMER","UserGroup","Retail customer","End customer using retail banking services","DEMO","hypothetical_demo","true","shared"
"USER_PROSPECT_CUSTOMER","UserGroup","Prospect customer","Prospective customer in onboarding or acquisition journeys","DEMO","hypothetical_demo","true","story_4"
"USER_AUTHENTICATED_CUSTOMER","UserGroup","Authenticated customer","Customer using authenticated digital banking services","DEMO","hypothetical_demo","true","story_1|story_2"
"USER_BRANCH_ADVISOR","UserGroup","Branch advisor","Frontline branch staff advising retail customers","DEMO","hypothetical_demo","true","story_2"
"USER_CONTACT_CENTER_AGENT","UserGroup","Contact center agent","Operations staff handling service and complaint interactions","DEMO","hypothetical_demo","true","story_1|story_2"
"USER_MARKETING_MANAGER","UserGroup","Marketing manager","Business user configuring campaigns and offers","DEMO","hypothetical_demo","true","story_2|story_3"
"CH_MOBILE_APP","Channel","Mobile app","Customer mobile banking application channel","S4|S12","publicly_observed","false","story_1"
"CH_PUBLIC_WEBSITE","Channel","Public website","Public web channel for customer assistance and product information","DEMO","hypothetical_demo","true","story_1"
"CH_VOICE","Channel","Voice channel","Phone or voicebot service channel","DEMO","hypothetical_demo","true","story_1"
"CH_BRANCH_DESKTOP","Channel","Branch desktop","Internal staff desktop channel for branch assistance","DEMO","hypothetical_demo","true","story_2"
"CH_CONTACT_CENTER_DESKTOP","Channel","Contact center desktop","Internal desktop channel for contact center support","DEMO","hypothetical_demo","true","story_2"
"CH_CAMPAIGN_PLATFORM","Channel","Campaign platform","Business campaign orchestration channel","S6","inferred","true","story_2|story_3"
"BP_RETAIL_CONVERSATIONAL_ASSISTANT","BusinessProcess","Retail conversational assistance","Customer conversational assistance for retail banking questions","DEMO","hypothetical_demo","true","story_1"
